user_id,course_id,timestamp,engagement_score,completion_status,predicted_engagement_score,assessment_score,feedback_score,age,education_level,learning_style,preferred_topics,title,topic,difficulty,content_type,title_ar,topic_ar,difficulty_ar,content_type_ar,learning_style_ar,preferred_topics_ar
U034,C011,2023-06-23,0.7945155444907487,Not Started,0.2648163217783188,69,4.14,24,High School,Reading,Data Science,Course 11,Data Science,Advanced,Video,المقرر 11,علم البيانات,متقدم,فيديو,قرائي,علم البيانات
U006,C027,2023-04-23,0.7070864772666982,Not Started,0.9335931437012516,65,4.89,56,Bachelor,Kinesthetic,AI,Course 27,AI,Beginner,Quiz,المقرر 27,الذكاء الاصطناعي,مبتدئ,اختبار قصير,حركي,الذكاء الاصطناعي
U053,C003,2023-05-02,0.0502260114639737,Not Started,0.7199595393694795,64,4.44,57,PhD,Auditory,Math,Course 3,AI,Advanced,Text,المقرر 3,الذكاء الاصطناعي,متقدم,نص,سمعي,الرياضيات
U194,C017,2023-02-01,0.0729018353679035,In Progress,0.753813712978369,65,4.51,43,Bachelor,Auditory,Data Science,Course 17,Data Science,Beginner,Video,المقرر 17,علم البيانات,مبتدئ,فيديو,سمعي,علم البيانات
U126,C044,2023-08-10,0.4028732826326371,Completed,0.2190591730598833,84,3.83,32,PhD,Visual,Math,Course 44,Music,Advanced,Video,المقرر 44,الموسيقى,متقدم,فيديو,بصري,الرياضيات
U043,C028,2023-04-29,0.2952904940479433,Not Started,0.4430399766351608,63,2.97,43,PhD,Reading,Art,Course 28,Art,Intermediate,Quiz,المقرر 28,الفن,متوسط,اختبار قصير,قرائي,الفن
U115,C029,2023-02-08,0.2323843230560478,In Progress,0.6178131945892864,91,3.56,52,High School,Visual,Data Science,Course 29,History,Advanced,Quiz,المقرر 29,التاريخ,متقدم,اختبار قصير,بصري,علم البيانات
U111,C021,2023-09-25,0.2810044989087136,Completed,0.7699736182066009,94,3.87,39,High School,Kinesthetic,Math,Course 21,AI,Beginner,Quiz,المقرر 21,الذكاء الاصطناعي,مبتدئ,اختبار قصير,حركي,الرياضيات
U151,C047,2023-08-21,0.8034827432968846,In Progress,0.1039593759123895,69,4.2,45,High School,Visual,Data Science,Course 47,Art,Intermediate,Quiz,المقرر 47,الفن,متوسط,اختبار قصير,بصري,علم البيانات
U183,C016,2023-01-18,0.929228053631854,Completed,0.9623653164545284,93,4.02,34,Master,Auditory,Art,Course 16,History,Intermediate,Quiz,المقرر 16,التاريخ,متوسط,اختبار قصير,سمعي,الفن
U080,C037,2023-05-29,0.4051026945275664,In Progress,0.890220670554556,95,3.48,32,Bachelor,Kinesthetic,Art,Course 37,Music,Advanced,Quiz,المقرر 37,الموسيقى,متقدم,اختبار قصير,حركي,الفن
U095,C020,2023-05-29,0.9061110021324972,Completed,0.2703485904955843,65,3.16,22,Bachelor,Reading,History,Course 20,Art,Beginner,Quiz,المقرر 20,الفن,مبتدئ,اختبار قصير,قرائي,التاريخ
U118,C006,2023-05-06,0.3214957012478819,Completed,0.822760243032332,75,2.92,20,PhD,Auditory,AI,Course 6,Data Science,Beginner,Text,المقرر 6,علم البيانات,مبتدئ,نص,سمعي,الذكاء الاصطناعي
U144,C019,2023-10-29,0.4764369863437916,In Progress,0.5183239230398234,78,4.23,24,High School,Kinesthetic,History,Course 19,History,Advanced,Quiz,المقرر 19,التاريخ,متقدم,اختبار قصير,حركي,التاريخ
U008,C005,2023-12-26,0.2260289978159997,Not Started,0.4618064815620186,93,4.11,40,Bachelor,Kinesthetic,Math,Course 5,History,Advanced,Text,المقرر 5,التاريخ,متقدم,نص,حركي,الرياضيات
U132,C003,2023-08-26,0.640476042175844,Completed,0.3144341058114054,84,4.22,56,Bachelor,Visual,Music,Course 3,AI,Advanced,Text,المقرر 3,الذكاء الاصطناعي,متقدم,نص,بصري,الموسيقى
U104,C001,2023-05-15,0.9789811151748088,Not Started,0.5809685866315925,90,3.43,51,Bachelor,Auditory,Data Science,Course 1,Music,Beginner,Quiz,المقرر 1,الموسيقى,مبتدئ,اختبار قصير,سمعي,علم البيانات
U132,C038,2023-05-31,0.6034930960433786,In Progress,0.7298891177035978,76,3.16,56,Bachelor,Visual,Music,Course 38,Data Science,Beginner,Quiz,المقرر 38,علم البيانات,مبتدئ,اختبار قصير,بصري,الموسيقى
U184,C015,2023-08-24,0.3578140841135488,Not Started,0.4109329049627582,89,4.4,19,High School,Reading,Music,Course 15,Data Science,Beginner,Text,المقرر 15,علم البيانات,مبتدئ,نص,قرائي,الموسيقى
U025,C034,2023-08-12,0.6478174459905284,Not Started,0.6292191930082921,90,4.43,39,Master,Kinesthetic,Data Science,Course 34,Music,Beginner,Text,المقرر 34,الموسيقى,مبتدئ,نص,حركي,علم البيانات
U195,C035,2023-07-22,0.1229206784653875,Not Started,0.6993129211553037,78,3.64,49,Master,Visual,AI,Course 35,Math,Intermediate,Text,المقرر 35,الرياضيات,متوسط,نص,بصري,الذكاء الاصطناعي
U096,C049,2023-09-13,0.8886590802653986,Not Started,0.7111218170152859,94,4.03,59,High School,Auditory,Math,Course 49,AI,Beginner,Quiz,المقرر 49,الذكاء الاصطناعي,مبتدئ,اختبار قصير,سمعي,الرياضيات
U195,C025,2023-03-27,0.5030839507798364,Not Started,0.0519660981311802,99,1.683254825224843,49,Master,Visual,AI,Course 25,AI,Beginner,Text,المقرر 25,الذكاء الاصطناعي,مبتدئ,نص,بصري,الذكاء الاصطناعي
U155,C024,2023-05-30,0.449349742039642,Completed,0.8597478056850669,88,3.43,45,Master,Auditory,Art,Course 24,Music,Beginner,Video,المقرر 24,الموسيقى,مبتدئ,فيديو,سمعي,الفن
U093,C012,2023-08-23,0.5858647884535192,Completed,0.4582533147650479,60,4.25,52,Master,Visual,History,Course 12,History,Advanced,Text,المقرر 12,التاريخ,متقدم,نص,بصري,التاريخ
U160,C018,2023-12-11,0.6247838627894025,Completed,0.2624160816962144,58,4.633640429074278,44,PhD,Reading,Data Science,Course 18,History,Advanced,Video,المقرر 18,التاريخ,متقدم,فيديو,قرائي,علم البيانات
U178,C015,2023-01-22,0.071775806226513,In Progress,0.2417645074796816,63,4.59,29,Master,Reading,Data Science,Course 15,Data Science,Beginner,Text,المقرر 15,علم البيانات,مبتدئ,نص,قرائي,علم البيانات
U061,C044,2023-12-14,0.6826172212234024,Not Started,0.4830141128439504,87,4.22,43,Bachelor,Auditory,History,Course 44,Music,Advanced,Video,المقرر 44,الموسيقى,متقدم,فيديو,سمعي,التاريخ
U122,C016,2023-10-12,0.2419316803155295,Completed,0.8868315394689592,77,3.78,31,Master,Reading,Art,Course 16,History,Intermediate,Quiz,المقرر 16,التاريخ,متوسط,اختبار قصير,قرائي,الفن
U051,C027,2023-09-26,0.7139526325065898,In Progress,0.3783475816826469,85,3.65,34,Master,Kinesthetic,Art,Course 27,AI,Beginner,Quiz,المقرر 27,الذكاء الاصطناعي,مبتدئ,اختبار قصير,حركي,الفن
U147,C008,2023-09-15,0.8225347943841967,Completed,0.7497257467835433,78,4.11,19,PhD,Visual,History,Course 8,History,Advanced,Quiz,المقرر 8,التاريخ,متقدم,اختبار قصير,بصري,التاريخ
U021,C046,2023-01-29,0.8039585075525203,Completed,0.0968187309872186,65,4.2,19,PhD,Visual,Music,Course 46,Math,Beginner,Text,المقرر 46,الرياضيات,مبتدئ,نص,بصري,الموسيقى
U005,C025,2023-08-01,0.5525009674078891,Not Started,0.4760567021510618,60,3.9,38,PhD,Auditory,AI,Course 25,AI,Beginner,Text,المقرر 25,الذكاء الاصطناعي,مبتدئ,نص,سمعي,الذكاء الاصطناعي
U092,C017,2023-10-10,0.5201698923107512,In Progress,0.9916861403927356,77,2.7442819208772504,52,Bachelor,Reading,Math,Course 17,Data Science,Beginner,Video,المقرر 17,علم البيانات,مبتدئ,فيديو,قرائي,الرياضيات
U170,C029,2023-02-19,0.1428759613394117,Not Started,0.770437802792337,67,4.06,50,PhD,Visual,AI,Course 29,History,Advanced,Quiz,المقرر 29,التاريخ,متقدم,اختبار قصير,بصري,الذكاء الاصطناعي
U061,C008,2023-04-05,0.7753461504031356,Not Started,0.210528488440613,92,2.74,43,Bachelor,Auditory,History,Course 8,History,Advanced,Quiz,المقرر 8,التاريخ,متقدم,اختبار قصير,سمعي,التاريخ
U022,C015,2023-03-29,0.2714093804467143,Completed,0.5014414736979107,80,4.88,38,PhD,Auditory,Data Science,Course 15,Data Science,Beginner,Text,المقرر 15,علم البيانات,مبتدئ,نص,سمعي,علم البيانات
U149,C027,2023-02-13,0.4966954228179465,Not Started,0.2336247636485665,83,4.48,23,PhD,Auditory,Math,Course 27,AI,Beginner,Quiz,المقرر 27,الذكاء الاصطناعي,مبتدئ,اختبار قصير,سمعي,الرياضيات
U070,C046,2023-10-05,0.2842740929275167,In Progress,0.4095609272625092,84,3.43,40,Master,Kinesthetic,Music,Course 46,Math,Beginner,Text,المقرر 46,الرياضيات,مبتدئ,نص,حركي,الموسيقى
U001,C050,2023-06-20,0.1338283629996931,Not Started,0.7800840237349648,82,4.162054430134591,56,Master,Reading,History,Course 50,Music,Intermediate,Video,المقرر 50,الموسيقى,متوسط,فيديو,قرائي,التاريخ
U133,C007,2023-07-08,0.6295576968917366,Not Started,0.7712248152904037,78,3.91,49,Bachelor,Kinesthetic,Math,Course 7,Music,Intermediate,Text,المقرر 7,الموسيقى,متوسط,نص,حركي,الرياضيات
U012,C003,2023-12-19,0.0543320348229038,Not Started,0.2281003779023851,88,2.62,53,PhD,Auditory,Math,Course 3,AI,Advanced,Text,المقرر 3,الذكاء الاصطناعي,متقدم,نص,سمعي,الرياضيات
U090,C029,2023-07-03,0.7486452341262,Completed,0.92222331815486,69,2.6,34,PhD,Reading,Art,Course 29,History,Advanced,Quiz,المقرر 29,التاريخ,متقدم,اختبار قصير,قرائي,الفن
U046,C044,2023-01-03,0.3175867952611166,In Progress,0.5925681827648268,71,3.13,45,Bachelor,Kinesthetic,Art,Course 44,Music,Advanced,Video,المقرر 44,الموسيقى,متقدم,فيديو,حركي,الفن
U034,C024,2023-07-10,0.0001346930044853,Completed,0.3799242909620145,92,4.22,24,High School,Reading,Data Science,Course 24,Music,Beginner,Video,المقرر 24,الموسيقى,مبتدئ,فيديو,قرائي,علم البيانات
U177,C003,2023-04-28,0.5111291392372298,Completed,0.5019355807808606,58,3.8520571674469632,58,High School,Auditory,Music,Course 3,AI,Advanced,Text,المقرر 3,الذكاء الاصطناعي,متقدم,نص,سمعي,الموسيقى
U078,C020,2023-01-19,0.0468519085276031,Completed,0.6050712534377437,66,4.63,58,PhD,Reading,History,Course 20,Art,Beginner,Quiz,المقرر 20,الفن,مبتدئ,اختبار قصير,قرائي,التاريخ
U045,C046,2023-01-23,0.2761695578208994,Completed,0.5598905318457854,76,3.9,37,High School,Kinesthetic,AI,Course 46,Math,Beginner,Text,المقرر 46,الرياضيات,مبتدئ,نص,حركي,الذكاء الاصطناعي
U155,C015,2023-01-30,0.7069764874557162,Completed,0.4864050355361782,69,3.83,45,Master,Auditory,Art,Course 15,Data Science,Beginner,Text,المقرر 15,علم البيانات,مبتدئ,نص,سمعي,الفن
U073,C025,2023-10-22,0.0626896216218658,In Progress,0.5049328040894001,90,3.51,33,Master,Visual,Music,Course 25,AI,Beginner,Text,المقرر 25,الذكاء الاصطناعي,مبتدئ,نص,بصري,الموسيقى
U026,C030,2023-04-18,0.8393384923560023,Not Started,0.1764119104278861,65,2.9,42,Bachelor,Auditory,Math,Course 30,Art,Beginner,Text,المقرر 30,الفن,مبتدئ,نص,سمعي,الرياضيات
U047,C014,2023-10-08,0.0038199226585831,Completed,0.8127329043046794,76,2.8,24,Master,Reading,Art,Course 14,Data Science,Beginner,Text,المقرر 14,علم البيانات,مبتدئ,نص,قرائي,الفن
U121,C007,2023-05-08,0.2468238692019022,Completed,0.5417603199410154,56,1.433601490866491,43,Master,Auditory,Music,Course 7,Music,Intermediate,Text,المقرر 7,الموسيقى,متوسط,نص,سمعي,الموسيقى
U056,C017,2023-08-17,0.7409040561520714,In Progress,0.1310798617047031,77,4.4,23,PhD,Auditory,History,Course 17,Data Science,Beginner,Video,المقرر 17,علم البيانات,مبتدئ,فيديو,سمعي,التاريخ
U094,C044,2023-04-21,0.3162701497293068,In Progress,0.7661571015827779,85,4.82,50,PhD,Auditory,AI,Course 44,Music,Advanced,Video,المقرر 44,الموسيقى,متقدم,فيديو,سمعي,الذكاء الاصطناعي
U107,C020,2023-05-16,0.1018923880660135,Not Started,0.9324439783773508,75,3.65,41,PhD,Visual,Art,Course 20,Art,Beginner,Quiz,المقرر 20,الفن,مبتدئ,اختبار قصير,بصري,الفن
U063,C036,2023-12-28,0.3602339188004279,In Progress,0.947306899236962,67,4.15,27,PhD,Auditory,Art,Course 36,Art,Intermediate,Text,المقرر 36,الفن,متوسط,نص,سمعي,الفن
U048,C009,2023-07-05,0.2703932863845255,Not Started,0.3690177324111727,97,1.942263738378005,25,Master,Auditory,AI,Course 9,History,Beginner,Quiz,المقرر 9,التاريخ,مبتدئ,اختبار قصير,سمعي,الذكاء الاصطناعي
U061,C038,2023-05-24,0.8427119021605549,Completed,0.135516873560754,83,4.79,43,Bachelor,Auditory,History,Course 38,Data Science,Beginner,Quiz,المقرر 38,علم البيانات,مبتدئ,اختبار قصير,سمعي,التاريخ
U081,C048,2023-03-13,0.3133479175851431,Completed,0.5183996266330652,72,2.73,18,PhD,Reading,AI,Course 48,Art,Beginner,Text,المقرر 48,الفن,مبتدئ,نص,قرائي,الذكاء الاصطناعي
U026,C022,2023-05-09,0.7889324717760072,Not Started,0.1126092293492206,88,4.43,42,Bachelor,Auditory,Math,Course 22,History,Advanced,Quiz,المقرر 22,التاريخ,متقدم,اختبار قصير,سمعي,الرياضيات
U036,C002,2023-12-30,0.8918721448107347,In Progress,0.9339874185126172,91,4.04,26,PhD,Reading,AI,Course 2,Math,Intermediate,Quiz,المقرر 2,الرياضيات,متوسط,اختبار قصير,قرائي,الذكاء الاصطناعي
U001,C024,2023-09-18,0.4338174195765295,Not Started,0.183579627355146,61,3.552559610065077,56,Master,Reading,History,Course 24,Music,Beginner,Video,المقرر 24,الموسيقى,مبتدئ,فيديو,قرائي,التاريخ
U008,C008,2023-01-03,0.909943143854392,In Progress,0.2527658599511641,83,4.0,40,Bachelor,Kinesthetic,Math,Course 8,History,Advanced,Quiz,المقرر 8,التاريخ,متقدم,اختبار قصير,حركي,الرياضيات
U113,C011,2023-04-14,0.3773180539631928,Completed,0.4066365268849704,75,3.23,52,High School,Visual,History,Course 11,Data Science,Advanced,Video,المقرر 11,علم البيانات,متقدم,فيديو,بصري,التاريخ
U099,C013,2023-08-12,0.9640784164901082,In Progress,0.3831644685591258,70,4.21,45,High School,Visual,Art,Course 13,History,Beginner,Video,المقرر 13,التاريخ,مبتدئ,فيديو,بصري,الفن
U180,C017,2023-11-16,0.0892895245255729,Not Started,0.794662892397889,91,4.49,19,PhD,Auditory,Art,Course 17,Data Science,Beginner,Video,المقرر 17,علم البيانات,مبتدئ,فيديو,سمعي,الفن
U047,C008,2023-12-28,0.6870192665032427,Not Started,0.4563168205509623,65,2.78,24,Master,Reading,Art,Course 8,History,Advanced,Quiz,المقرر 8,التاريخ,متقدم,اختبار قصير,قرائي,الفن
U127,C021,2023-12-20,0.4938140404569286,Completed,0.1707682600033369,94,3.83,32,PhD,Reading,Data Science,Course 21,AI,Beginner,Quiz,المقرر 21,الذكاء الاصطناعي,مبتدئ,اختبار قصير,قرائي,علم البيانات
U056,C018,2023-01-10,0.387648805455647,In Progress,0.2672098954860741,92,2.75,23,PhD,Auditory,History,Course 18,History,Advanced,Video,المقرر 18,التاريخ,متقدم,فيديو,سمعي,التاريخ
U014,C030,2023-10-29,0.6327118787486009,In Progress,0.509113385187522,77,4.68,41,High School,Reading,AI,Course 30,Art,Beginner,Text,المقرر 30,الفن,مبتدئ,نص,قرائي,الذكاء الاصطناعي
U028,C018,2023-08-19,0.7038570916343312,In Progress,0.1474539174261349,68,2.929972242110652,59,Master,Reading,Data Science,Course 18,History,Advanced,Video,المقرر 18,التاريخ,متقدم,فيديو,قرائي,علم البيانات
U078,C046,2023-08-07,0.004363269650309,Completed,0.6116556756460141,72,3.77,58,PhD,Reading,History,Course 46,Math,Beginner,Text,المقرر 46,الرياضيات,مبتدئ,نص,قرائي,التاريخ
U130,C047,2023-03-07,0.1669530887471987,In Progress,0.5657473065511459,69,4.52,30,Bachelor,Visual,Art,Course 47,Art,Intermediate,Quiz,المقرر 47,الفن,متوسط,اختبار قصير,بصري,الفن
U109,C031,2023-04-22,0.7130460506343187,Not Started,0.7147023163822577,85,3.42,52,High School,Visual,Art,Course 31,History,Advanced,Text,المقرر 31,التاريخ,متقدم,نص,بصري,الفن
U154,C038,2023-01-13,0.6663854135782065,In Progress,0.9377046153793676,76,2.81,28,PhD,Auditory,Math,Course 38,Data Science,Beginner,Quiz,المقرر 38,علم البيانات,مبتدئ,اختبار قصير,سمعي,الرياضيات
U014,C032,2023-03-27,0.9660475051286772,Completed,0.9122545611011555,60,2.6,41,High School,Reading,AI,Course 32,Art,Beginner,Text,المقرر 32,الفن,مبتدئ,نص,قرائي,الذكاء الاصطناعي
U187,C011,2023-08-22,0.761037790250783,In Progress,0.9460756180688312,84,3.2,40,Master,Visual,History,Course 11,Data Science,Advanced,Video,المقرر 11,علم البيانات,متقدم,فيديو,بصري,التاريخ
U056,C045,2023-03-31,0.950772707731338,In Progress,0.2447155970237009,93,3.11,23,PhD,Auditory,History,Course 45,Data Science,Beginner,Quiz,المقرر 45,علم البيانات,مبتدئ,اختبار قصير,سمعي,التاريخ
U115,C025,2023-11-10,0.702540501534807,Not Started,0.1315653066393546,69,3.9,52,High School,Visual,Data Science,Course 25,AI,Beginner,Text,المقرر 25,الذكاء الاصطناعي,مبتدئ,نص,بصري,علم البيانات
U007,C033,2023-02-23,0.2980522086394431,In Progress,0.3022767004964485,79,2.55,36,Bachelor,Auditory,Art,Course 33,Art,Beginner,Text,المقرر 33,الفن,مبتدئ,نص,سمعي,الفن
U003,C038,2023-01-12,0.1053649222508564,Not Started,0.8950851727663146,66,3.8,32,PhD,Reading,Math,Course 38,Data Science,Beginner,Quiz,المقرر 38,علم البيانات,مبتدئ,اختبار قصير,قرائي,الرياضيات
U111,C041,2023-07-28,0.7818238633449356,Not Started,0.9720534746234882,55,2.489228394292191,39,High School,Kinesthetic,Math,Course 41,AI,Beginner,Text,المقرر 41,الذكاء الاصطناعي,مبتدئ,نص,حركي,الرياضيات
U151,C008,2023-01-14,0.6441492214759159,Completed,0.859324951070476,75,3.48,45,High School,Visual,Data Science,Course 8,History,Advanced,Quiz,المقرر 8,التاريخ,متقدم,اختبار قصير,بصري,علم البيانات
U107,C011,2023-05-01,0.0481860123932962,Not Started,0.1100177211275436,88,3.94,41,PhD,Visual,Art,Course 11,Data Science,Advanced,Video,المقرر 11,علم البيانات,متقدم,فيديو,بصري,الفن
U018,C022,2023-01-20,0.3600504659009783,Not Started,0.9474279980597932,71,4.26,41,PhD,Auditory,Art,Course 22,History,Advanced,Quiz,المقرر 22,التاريخ,متقدم,اختبار قصير,سمعي,الفن
U038,C024,2023-03-16,0.9567998154842862,Completed,0.423358027350786,76,4.09,35,Master,Reading,Data Science,Course 24,Music,Beginner,Video,المقرر 24,الموسيقى,مبتدئ,فيديو,قرائي,علم البيانات
U115,C041,2023-08-31,0.5004011457102012,Not Started,0.0093102907623536,79,4.96,52,High School,Visual,Data Science,Course 41,AI,Beginner,Text,المقرر 41,الذكاء الاصطناعي,مبتدئ,نص,بصري,علم البيانات
U015,C017,2023-08-11,0.4327291360197046,Completed,0.4423937407481936,72,1.9866257873791116,20,PhD,Visual,Data Science,Course 17,Data Science,Beginner,Video,المقرر 17,علم البيانات,مبتدئ,فيديو,بصري,علم البيانات
U192,C012,2023-03-11,0.457699605159294,In Progress,0.0460691696754675,85,2.85,36,Bachelor,Reading,History,Course 12,History,Advanced,Text,المقرر 12,التاريخ,متقدم,نص,قرائي,التاريخ
U119,C046,2023-11-08,0.2088827240051637,Completed,0.5438779211611176,78,3.57,18,PhD,Visual,Art,Course 46,Math,Beginner,Text,المقرر 46,الرياضيات,مبتدئ,نص,بصري,الفن
U028,C032,2023-07-30,0.3687071708647952,Not Started,0.3385540274370513,71,3.56,59,Master,Reading,Data Science,Course 32,Art,Beginner,Text,المقرر 32,الفن,مبتدئ,نص,قرائي,علم البيانات
U039,C015,2023-04-11,0.3698132559871766,Completed,0.4734349335940487,76,4.575892229850019,21,Bachelor,Reading,Art,Course 15,Data Science,Beginner,Text,المقرر 15,علم البيانات,مبتدئ,نص,قرائي,الفن
U185,C016,2023-07-05,0.0523550201874724,Not Started,0.613170360743117,80,3.54,19,High School,Visual,Art,Course 16,History,Intermediate,Quiz,المقرر 16,التاريخ,متوسط,اختبار قصير,بصري,الفن
U017,C022,2023-05-12,0.7675676285179183,In Progress,0.8688010958178203,93,4.16,19,Bachelor,Kinesthetic,History,Course 22,History,Advanced,Quiz,المقرر 22,التاريخ,متقدم,اختبار قصير,حركي,التاريخ
U086,C028,2023-04-21,0.416504431903879,Completed,0.6619015764719286,66,3.72,18,High School,Auditory,Music,Course 28,Art,Intermediate,Quiz,المقرر 28,الفن,متوسط,اختبار قصير,سمعي,الموسيقى
U126,C020,2023-05-12,0.8221798868164233,In Progress,0.4340488684781807,94,3.79,32,PhD,Visual,Math,Course 20,Art,Beginner,Quiz,المقرر 20,الفن,مبتدئ,اختبار قصير,بصري,الرياضيات
U044,C033,2023-01-20,0.8503480011198954,Not Started,0.8194278536703651,74,3.58,19,High School,Kinesthetic,History,Course 33,Art,Beginner,Text,المقرر 33,الفن,مبتدئ,نص,حركي,التاريخ
U025,C010,2023-01-24,0.211994054698658,Not Started,0.9055821375731322,60,4.98,39,Master,Kinesthetic,Data Science,Course 10,Art,Intermediate,Text,المقرر 10,الفن,متوسط,نص,حركي,علم البيانات
U145,C040,2023-08-15,0.6573534821701286,In Progress,0.1197599664321972,85,4.82,39,Bachelor,Visual,Math,Course 40,Art,Intermediate,Quiz,المقرر 40,الفن,متوسط,اختبار قصير,بصري,الرياضيات
U013,C032,2023-06-03,0.4722818041629817,Completed,0.5319329775527915,94,3.27,57,High School,Visual,AI,Course 32,Art,Beginner,Text,المقرر 32,الفن,مبتدئ,نص,بصري,الذكاء الاصطناعي
U025,C050,2023-10-20,0.8801567379214851,Completed,0.2845119597424441,84,2.78,39,Master,Kinesthetic,Data Science,Course 50,Music,Intermediate,Video,المقرر 50,الموسيقى,متوسط,فيديو,حركي,علم البيانات
U068,C033,2023-08-18,0.2157406791764541,Not Started,0.0470611978769474,74,4.6,25,PhD,Kinesthetic,AI,Course 33,Art,Beginner,Text,المقرر 33,الفن,مبتدئ,نص,حركي,الذكاء الاصطناعي
U138,C002,2023-11-06,0.6778132003100442,In Progress,0.6685466951139853,81,4.99,56,Master,Visual,AI,Course 2,Math,Intermediate,Quiz,المقرر 2,الرياضيات,متوسط,اختبار قصير,بصري,الذكاء الاصطناعي
U067,C033,2023-12-25,0.6077521222527226,In Progress,0.8627707774592256,65,3.23,32,High School,Auditory,Music,Course 33,Art,Beginner,Text,المقرر 33,الفن,مبتدئ,نص,سمعي,الموسيقى
U109,C033,2023-07-21,0.2953014775718328,Completed,0.162902654477394,74,3.39,52,High School,Visual,Art,Course 33,Art,Beginner,Text,المقرر 33,الفن,مبتدئ,نص,بصري,الفن
U146,C041,2023-02-07,0.1366009036511726,Completed,0.8124136576239005,83,4.85,45,High School,Auditory,Art,Course 41,AI,Beginner,Text,المقرر 41,الذكاء الاصطناعي,مبتدئ,نص,سمعي,الفن
U111,C013,2023-09-17,0.6516397604772766,Completed,0.8533957335369416,80,4.28,39,High School,Kinesthetic,Math,Course 13,History,Beginner,Video,المقرر 13,التاريخ,مبتدئ,فيديو,حركي,الرياضيات
U111,C030,2023-07-07,0.7385974581323307,In Progress,0.9143404426664836,66,3.24,39,High School,Kinesthetic,Math,Course 30,Art,Beginner,Text,المقرر 30,الفن,مبتدئ,نص,حركي,الرياضيات
U034,C033,2023-02-26,0.31562734376335,Completed,0.2652850890860524,88,3.95,24,High School,Reading,Data Science,Course 33,Art,Beginner,Text,المقرر 33,الفن,مبتدئ,نص,قرائي,علم البيانات
U111,C013,2023-01-20,0.6448326040223138,Completed,0.9039530651898892,91,4.86,39,High School,Kinesthetic,Math,Course 13,History,Beginner,Video,المقرر 13,التاريخ,مبتدئ,فيديو,حركي,الرياضيات
U008,C026,2023-09-30,0.3951309076115032,Not Started,0.3206627547364322,91,4.53,40,Bachelor,Kinesthetic,Math,Course 26,AI,Advanced,Text,المقرر 26,الذكاء الاصطناعي,متقدم,نص,حركي,الرياضيات
U168,C022,2023-04-29,0.7132068832826177,Completed,0.5523380134555028,64,4.35,26,Bachelor,Auditory,History,Course 22,History,Advanced,Quiz,المقرر 22,التاريخ,متقدم,اختبار قصير,سمعي,التاريخ
U113,C039,2023-03-12,0.1992152748940531,Completed,0.0505074708322821,95,3.163062525202172,52,High School,Visual,History,Course 39,Math,Beginner,Quiz,المقرر 39,الرياضيات,مبتدئ,اختبار قصير,بصري,التاريخ
